name = uk90
year = 1990
yname = weight
sex = male
distribution = LMS
citation = UK90
publication = British 1990 birthweight reference (post-natal data excluded)
[data]
X         L     M       S		
-0.3258   1.147	0.6145	0.15875
-0.3066   1.126	0.7142	0.16249
-0.2875   1.104	0.8167	0.16628
-0.2683   1.083	0.9244	0.17007
-0.2491   1.061	1.0364	0.17355
-0.2300   1.040	1.1577	0.17663
-0.2108   1.018	1.2898	0.17905
-0.1916   0.997	1.4360	0.18056
-0.1725   0.975	1.6050	0.18092
-0.1533   0.954	1.7993	0.17980
-0.1342   0.932	2.0156	0.17703
-0.1150   0.911	2.2472	0.17262
-0.0958   0.889	2.4860	0.16668
-0.0767   0.868	2.7257	0.15938
-0.0575   0.846	2.9594	0.15117
-0.0383   0.825	3.1778	0.14258
-0.0192   0.803	3.3769	0.13469
0.0000    0.782	3.5551	0.12851
0.0192    0.760	3.7172	0.12412
0.0383    0.739	3.8702	0.12085
0.0575    0.717	4.0204	0.11777
